song identifier, likelihood_art, likelihood_pop, likelihood_tradition, likely_type, was_art, was_pop, was_tradition, was_type
cache/2014.Mitis.Oasis - EP.Prism.wav,0.16343900561332703,0.7618971467018127,0.07466385513544083,1,1,0,0,1
cache/2015.Lana Del Rey.Honeymoon.Honeymoon.wav,0.05068579316139221,0.9320859909057617,0.01722821407020092,1,1,0,0,1
cache/2009.009 Sound System.009 Sound System.Speak To Angels.wav,0.07992961257696152,0.8754729628562927,0.04459745064377785,1,1,0,0,1
cache/2016.Lane 8.Rise (Remixed).Ghost feat. Patrick Baker (Audion Remix).wav,0.08429645746946335,0.7806848883628845,0.13501863181591034,1,1,0,0,1
cache/2015.Hinkstep.My Forest Queen.Drifting Away.wav,0.021435042843222618,0.9662282466888428,0.012336697429418564,1,1,0,0,0
cache/2015.Zeke Duhon.Zeke Duhon.Faith And Hope.wav,0.1800931692123413,0.6562665104866028,0.16364030539989471,1,1,0,0,2
cache/2000.Death Cab for Cutie.We Have The Facts And We're Voting Yes.No Joy In Mudville.wav,0.10363087058067322,0.8729643225669861,0.023404795676469803,1,1,0,0,1
cache/2014.James Newton Howard.The Hunger Games - Mockingjay Pt. 1 (Original Motin Picture Score).Jamming The Capitol.wav,0.07852549105882645,0.8315893411636353,0.08988514542579651,1,1,0,0,0
cache/2006.Snow Patrol.Eyes Open.Shut Your Eyes.wav,0.05642130970954895,0.853789210319519,0.08978947252035141,1,1,0,0,1
cache/2014.Milky Chance.Sadnecessary.Running.wav,0.08508878946304321,0.8493766784667969,0.06553453952074051,1,1,0,0,1
cache/2010.Daft Punk.Tron: Legacy (Amazon MP3 Exclusive Version).Fall.wav,0.04628831893205643,0.9357163310050964,0.017995331436395645,1,1,0,0,0
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Criminal.wav,0.2715960443019867,0.6374022364616394,0.0910017192363739,1,1,0,0,1
cache/2014.The Sunshine Underground.Start.All Your Luck.wav,0.05313704162836075,0.8927395939826965,0.054123349487781525,1,1,0,0,1
cache/2014.Pentatonix.That's Christmas To Me.Mary, Did You Know?.wav,0.12573082745075226,0.7720991373062134,0.10217005759477615,1,1,0,0,2
cache/2015.Of Monsters And Men.Beneath The Skin.Hunger.wav,0.10515622049570084,0.7938860654830933,0.1009577065706253,1,1,0,0,1
cache/2006.John Mayer.Continuum.Gravity.wav,0.04502871632575989,0.9201810956001282,0.03479016199707985,1,1,0,0,1
cache/2014.Lower Than Atlantis.Lower Than Atlantis (Deluxe).Time.wav,0.1350402981042862,0.7841249704360962,0.08083470910787582,1,1,0,0,1
cache/2001.Bond.Born.The 1812.wav,0.13145887851715088,0.7416178584098816,0.12692326307296753,1,1,0,0,1
cache/2013.OK Go.Twelve Months of OK Go.This Thing Has Started (2004 demo).wav,0.1184098944067955,0.8354227542877197,0.04616735503077507,1,1,0,0,1
cache/2003.Coldplay.Live 2003.In My Place.wav,0.03907611593604088,0.9376224279403687,0.02330143190920353,1,1,0,0,1
cache/2014.Kerretta.Pirohia.Kawea Tatou Ki Nga Hiwi.wav,0.08409284800291061,0.8906794190406799,0.025227708742022514,1,1,0,0,0
cache/2003.Snow Patrol.Final Straw.Ways And Means.wav,0.15246616303920746,0.7902867794036865,0.057247065007686615,1,1,0,0,1
cache/2015.Interpol.Spotify Sessions.Favorite Live Setting.wav,0.0746268704533577,0.808346688747406,0.1170264333486557,1,1,0,0,1
cache/2015.Fall Out Boy.American BeautyAmerican Psycho.Irresistible.wav,0.11993496119976044,0.8461570143699646,0.033908016979694366,1,1,0,0,1
